Instrument,expiration,strike_price,type,volume,open_interest,rho,theta,vega,gamma,net_delta,delta,last_price,bid_iv,bid_price,market_price,ask_price,ask_iv,underlying_price,tau,days,payoff
BTC,10-May-24,88000,P,,,0.76012,,,,,1,,,0.3965,0.4005,0.4045,663.19,62836,0.002739726,1,25164
BTC,10-May-24,90000,C,,263.4,,,,,,,0.0001,,,,0.0001,430.32,62836,0.002739726,1,0
BTC,10-May-24,90000,P,,,0.7774,,,,,1,,,0.427,0.4324,0.436,686.11,62836,0.002739726,1,27164
BTC,10-May-24,92000,C,,188.4,,,,,,,0.0001,,,,0.0001,453.65,62836,0.002739726,1,0
BTC,10-May-24,92000,P,,,0.79467,,,,,1,,,0.46,0.4642,0.468,724.9,62836,0.002739726,1,29164
BTC,11-May-24,55000,C,,,1.96102,30.22187,0.84111,0.00001,,0.99185,,,0.123,0.126,0.1285,152.43,62836,0.005479452,2,7836
BTC,11-May-24,55000,P,31.8,36.3,0.01881,9.80501,0.84111,0.00001,,0.00815,0.0002,89.57,0.0001,0.0002,0.0002,97.44,62836,0.005479452,2,0
BTC,11-May-24,56000,C,,,1.99154,34.10798,1.05331,0.00001,,0.98946,,,0.107,0.1101,0.1125,134.96,62836,0.005479452,2,6836
BTC,11-May-24,56000,P,9.6,12.4,0.02429,11.72564,1.05331,0.00001,,0.01054,0.0003,78.79,0.0001,0.0002,0.0002,85.89,62836,0.005479452,2,0
BTC,11-May-24,57000,C,,,2.01678,42.34922,1.44769,0.00001,,0.98478,,,0.091,0.0943,0.097,123.22,62836,0.005479452,2,5836
BTC,11-May-24,57000,P,14.3,42.3,0.03505,15.92854,1.44769,0.00001,,0.01522,0.0006,68.06,0.0001,0.0003,0.0003,78.79,62836,0.005479452,2,0
BTC,11-May-24,58000,C,0.1,0.1,2.03748,51.02149,1.97315,0.00002,,0.97811,0.079,,0.075,0.0785,0.081,105.57,62836,0.005479452,2,4836
BTC,11-May-24,58000,P,24.2,27.1,0.05035,21.14671,1.97315,0.00002,,0.02189,0.0003,66.76,0.0003,0.0003,0.0004,69.88,62836,0.005479452,2,0
BTC,11-May-24,59000,C,,,2.04025,69.06896,3.00993,0.00004,,0.96363,,,0.0595,0.0628,0.0655,92.26,62836,0.005479452,2,3836
BTC,11-May-24,59000,P,67.4,66.1,0.08357,33.38132,3.00993,0.00004,,0.03637,0.0005,57.34,0.0004,0.0005,0.0006,61.7,62836,0.005479452,2,0
BTC,11-May-24,59500,C,,,2.02179,88.84626,4.03028,0.00005,,0.94778,,,0.0515,0.0551,0.058,87.03,62836,0.005479452,2,3336
BTC,11-May-24,59500,P,79.7,55.9,0.12003,48.68931,4.03028,0.00005,,0.05222,0.0007,55.03,0.0006,0.0008,0.001,61.22,62836,0.005479452,2,0
BTC,11-May-24,60000,C,4.3,1.3,1.99433,107.93259,5.17955,0.00007,,0.92799,0.0525,,0.0445,0.0474,0.0505,81.11,62836,0.005479452,2,2836
BTC,11-May-24,60000,P,13.3,13.7,0.16549,67.03608,5.17955,0.00007,,0.07201,0.001,52.66,0.0009,0.0011,0.0013,57.47,62836,0.005479452,2,0
BTC,11-May-24,60500,C,2,1,1.94726,130.44358,6.63964,0.00009,,0.89969,0.0225,,0.037,0.0399,0.043,74.49,62836,0.005479452,2,2336
BTC,11-May-24,60500,P,22.3,21.1,0.23055,93.80979,6.63964,0.00009,,0.10031,0.0014,50.75,0.0014,0.0015,0.0017,53.55,62836,0.005479452,2,0
BTC,11-May-24,61000,C,5.8,10.8,1.86762,158.54343,8.51296,0.00012,,0.85726,0.012,,0.029,0.0326,0.0355,67.14,62836,0.005479452,2,1836
BTC,11-May-24,61000,P,48.7,54.4,0.3282,136.74528,8.51296,0.00012,,0.14274,0.0021,48.39,0.0021,0.0022,0.0024,50.58,62836,0.005479452,2,0
BTC,11-May-24,61500,C,32.2,37.4,1.74535,189.31091,10.68192,0.00016,,0.79639,0.0235,,0.022,0.0257,0.0285,61.53,62836,0.005479452,2,1336
BTC,11-May-24,61500,P,32.5,47.6,0.46846,189.31091,10.68192,0.00016,,0.20361,0.0025,45.17,0.003,0.0032,0.0035,48.12,62836,0.005479452,2,0
BTC,11-May-24,62000,C,79.8,49.2,1.56586,221.27269,12.90212,0.0002,,0.71092,0.0205,34.74,0.0175,0.0195,0.022,56.76,62836,0.005479452,2,836
BTC,11-May-24,62000,P,18,18.5,0.66595,221.27269,12.90212,0.0002,,0.28908,0.0036,43.28,0.0046,0.005,0.0055,47.65,62836,0.005479452,2,0
BTC,11-May-24,62500,C,46.3,32.7,1.33958,240.32138,14.52974,0.00023,,0.60549,0.018,39.07,0.013,0.014,0.0145,45.58,62836,0.005479452,2,336
BTC,11-May-24,62500,P,9,22.6,0.91023,240.32138,14.52974,0.00023,,0.39451,0.0075,41.75,0.007,0.0074,0.008,46.08,62836,0.005479452,2,0
BTC,11-May-24,63000,C,32.2,32.6,1.07597,248.73864,15.04845,0.00024,,0.48484,0.0095,40.3,0.009,0.0098,0.01,44.48,62836,0.005479452,2,0
BTC,11-May-24,63000,P,4.5,5.4,1.19184,248.73864,15.04845,0.00024,,0.51516,0.011,41,0.0105,0.0111,0.0115,45.18,62836,0.005479452,2,164
BTC,11-May-24,63500,C,43.1,41.6,0.81121,231.2205,14.18215,0.00023,,0.3645,0.0075,41.42,0.006,0.0063,0.007,45.84,62836,0.005479452,2,0
BTC,11-May-24,63500,P,2.2,2.3,1.4746,231.2205,14.18215,0.00023,,0.6355,0.0115,37.93,0.0145,0.0156,0.0175,51.19,62836,0.005479452,2,664
BTC,11-May-24,64000,C,61.9,64.8,0.5868,206.46897,12.32278,0.0002,,0.26326,0.0049,42.68,0.0039,0.0042,0.0045,45.73,62836,0.005479452,2,0
BTC,11-May-24,64000,P,3.3,3.3,1.717,206.46897,12.32278,0.0002,,0.73674,0.0205,30.7,0.019,0.0214,0.0245,59.09,62836,0.005479452,2,1164
BTC,11-May-24,64500,C,14.8,19.5,0.41676,174.89236,10.1366,0.00016,,0.18679,0.002,44.1,0.0025,0.0028,0.0031,47.82,62836,0.005479452,2,0
BTC,11-May-24,64500,P,,,1.90505,176.90769,10.1366,0.00016,,0.81321,,,0.0245,0.028,0.031,62.78,62836,0.005479452,2,1664
BTC,11-May-24,65000,C,34.2,36.1,0.29319,117.65823,8.04166,0.00012,,0.13133,0.0021,45.69,0.0016,0.0019,0.0021,49.63,62836,0.005479452,2,0
BTC,11-May-24,65000,P,0.1,0.1,2.04661,146.48995,8.04166,0.00012,,0.86867,0.061,,0.032,0.035,0.0395,75.58,62836,0.005479452,2,2164
BTC,11-May-24,65500,C,27.5,25,0.2061,80.1328,6.24453,0.00009,,0.09228,0.0016,48.18,0.0011,0.0013,0.0015,52.18,62836,0.005479452,2,0
BTC,11-May-24,65500,P,,,2.1517,118.79269,6.24453,0.00009,,0.90772,,,0.0395,0.0423,0.0455,73.62,62836,0.005479452,2,2664
BTC,11-May-24,66000,C,39.2,28.2,0.14832,56.96693,4.86573,0.00007,,0.0664,0.0009,49.67,0.0007,0.0009,0.0011,54.9,62836,0.005479452,2,0
BTC,11-May-24,66000,P,,,2.22748,97.22396,4.86573,0.00007,,0.9336,,,0.047,0.0499,0.0535,82.43,62836,0.005479452,2,3164
BTC,11-May-24,66500,C,12.7,18.1,0.10937,41.99302,3.82832,0.00005,,0.04896,0.0007,52.26,0.0005,0.0007,0.0009,58.75,62836,0.005479452,2,0
BTC,11-May-24,66500,P,,,2.28443,80.47184,3.82832,0.00005,,0.95104,,,0.055,0.0576,0.061,87.48,62836,0.005479452,2,3664
BTC,11-May-24,67000,C,19.6,27.5,0.0827,32.00603,3.05415,0.00004,,0.03702,0.0005,55.71,0.0004,0.0005,0.0007,61.69,62836,0.005479452,2,0
BTC,11-May-24,67000,P,0.2,0.2,2.3291,67.53967,3.05415,0.00004,,0.96298,0.09,,0.0625,0.0654,0.069,95.62,62836,0.005479452,2,4164
BTC,11-May-24,68000,C,3.9,10.7,0.04046,15.00833,1.67928,0.00002,,0.0181,0.0002,54.55,0.0001,0.0002,0.0004,66.37,62836,0.005479452,2,0
BTC,11-May-24,68000,P,,,2.40733,39.16962,1.67928,0.00002,,0.9819,,,0.078,0.081,0.0845,107.28,62836,0.005479452,2,5164
BTC,11-May-24,69000,C,1.3,4.4,0.02865,11.37598,1.24941,0.00001,,0.01283,0.0003,63.4,0.0001,0.0002,0.0003,73.34,62836,0.005479452,2,0
BTC,11-May-24,69000,P,,,2.45514,32.48385,1.24941,0.00001,,0.98717,,,0.094,0.0969,0.1005,122.14,62836,0.005479452,2,6164
BTC,11-May-24,70000,C,0.6,0.8,0.01418,5.41144,0.67442,0.00001,,0.00635,0.0001,,,0.0001,0.0003,82.93,62836,0.005479452,2,0
BTC,11-May-24,70000,P,,3.6,2.50561,18.15691,0.67442,0.00001,,0.99365,0.142,,0.11,0.1127,0.1165,136.52,62836,0.005479452,2,7164
BTC,11-May-24,71000,C,0.1,0.2,0.00526,1.83732,0.27733,,,0.00235,0.0002,,,,0.0002,87.35,62836,0.005479452,2,0
BTC,11-May-24,71000,P,,,2.55052,7.46638,0.27733,,,0.99765,,,0.1255,0.1285,0.1325,150.48,62836,0.005479452,2,8164
BTC,11-May-24,72000,C,,0.1,0.00179,0.57562,0.1035,,,0.0008,0.0001,,,,0.0002,96.02,62836,0.005479452,2,0
BTC,11-May-24,72000,P,,,2.58999,2.78649,0.1035,,,0.9992,,,0.1415,0.1444,0.1485,164.08,62836,0.005479452,2,9164
BTC,11-May-24,73000,C,,,0.00056,0.16674,0.03521,,,0.00025,,,,,0.0002,104.48,62836,0.005479452,2,0
BTC,11-May-24,73000,P,,,2.62722,0.94782,0.03521,,,0.99975,,,0.1575,0.1603,0.1645,177.36,62836,0.005479452,2,10164
BTC,12-May-24,54000,C,,,3.39175,18.55533,1.06678,0.00001,,0.99226,,,0.139,0.1421,0.145,130.94,62836,0.008219178,3,8836
BTC,12-May-24,54000,P,68.2,62.7,0.03154,10.50329,1.06678,0.00001,,0.00774,0.0002,75.81,0.0001,0.0002,0.0002,82.33,62836,0.008219178,3,0
BTC,12-May-24,55000,C,,,3.4475,20.44439,1.29206,0.00001,,0.99037,,,0.123,0.1263,0.1285,112.49,62836,0.008219178,3,7836
BTC,12-May-24,55000,P,71.7,69.5,0.03918,12.14361,1.29206,0.00001,,0.00963,0.0003,67.63,0.0001,0.0002,0.0003,77.68,62836,0.008219178,3,0
BTC,12-May-24,56000,C,,,3.49124,27.01079,1.83925,0.00001,,0.98554,,,0.107,0.1105,0.1135,108.46,62836,0.008219178,3,6836
BTC,12-May-24,56000,P,5.7,5.6,0.05883,17.70387,1.83925,0.00001,,0.01446,0.0003,64.86,0.0002,0.0003,0.0004,71.57,62836,0.008219178,3,0
BTC,12-May-24,57000,C,,,3.51527,39.21905,2.84433,0.00002,,0.97585,,,0.0915,0.0948,0.097,90.9,62836,0.008219178,3,5836
BTC,12-May-24,57000,P,22.1,8.7,0.0982,29.54969,2.84433,0.00002,,0.02415,0.001,59.52,0.0003,0.0005,0.0005,64.47,62836,0.008219178,3,0
BTC,12-May-24,58000,C,,,3.5363,47.36752,3.83558,0.00003,,0.9654,,,0.0755,0.079,0.0815,81.49,62836,0.008219178,3,4836
BTC,12-May-24,58000,P,15.1,13.6,0.14057,39.79976,3.83558,0.00003,,0.0346,0.0005,54.83,0.0005,0.0006,0.0008,59.72,62836,0.008219178,3,0
BTC,12-May-24,58500,C,,,3.52351,57.02588,4.79606,0.00003,,0.95445,,,0.068,0.0713,0.074,78.11,62836,0.008219178,3,4336
BTC,12-May-24,58500,P,1.2,1.2,0.18505,52.5589,4.79606,0.00003,,0.04555,0.0018,53.16,0.0007,0.0008,0.001,57.08,62836,0.008219178,3,0
BTC,12-May-24,59000,C,,,3.50205,66.46282,5.86262,0.00004,,0.94136,,,0.06,0.0636,0.066,71.19,62836,0.008219178,3,3836
BTC,12-May-24,59000,P,1.8,1.3,0.23821,66.46282,5.86262,0.00004,,0.05864,0.0046,50.58,0.0009,0.0011,0.0013,54.83,62836,0.008219178,3,0
BTC,12-May-24,59500,C,2,1,3.46511,76.72116,7.13254,0.00006,,0.92445,0.0325,,0.052,0.0559,0.0585,67.11,62836,0.008219178,3,3336
BTC,12-May-24,59500,P,6.2,3.6,0.30685,76.72116,7.13254,0.00006,,0.07555,0.002,48.28,0.0012,0.0014,0.0014,50.09,62836,0.008219178,3,0
BTC,12-May-24,60000,C,11.1,3.5,3.39684,90.40805,8.80324,0.00007,,0.89986,0.053,,0.0445,0.0484,0.051,62.52,62836,0.008219178,3,2836
BTC,12-May-24,60000,P,10.9,9.3,0.40682,90.40805,8.80324,0.00007,,0.10014,0.0017,45.88,0.0016,0.0018,0.0021,49.44,62836,0.008219178,3,0
BTC,12-May-24,60500,C,,,3.29338,105.73493,10.78954,0.00009,,0.86662,,,0.0375,0.0411,0.0435,57.43,62836,0.008219178,3,2336
BTC,12-May-24,60500,P,11.3,9.1,0.54197,105.73493,10.78954,0.00009,,0.13338,0.0027,43.77,0.0022,0.0025,0.0028,47.26,62836,0.008219178,3,0
BTC,12-May-24,61000,C,23.5,17.6,3.13768,123.46579,13.12039,0.00012,,0.82061,0.0185,,0.0305,0.0342,0.0365,53.91,62836,0.008219178,3,1836
BTC,12-May-24,61000,P,20.2,16.7,0.72937,123.46579,13.12039,0.00012,,0.17939,0.006,42.45,0.0032,0.0034,0.0038,45.32,62836,0.008219178,3,0
BTC,12-May-24,61500,C,9.7,8.5,2.91278,143.56793,15.65533,0.00015,,0.75779,0.021,27.94,0.0245,0.0277,0.03,51.29,62836,0.008219178,3,1336
BTC,12-May-24,61500,P,16.8,16.1,0.98596,143.56793,15.65533,0.00015,,0.24221,0.0047,41.16,0.0046,0.0049,0.0055,44.76,62836,0.008219178,3,0
BTC,12-May-24,62000,C,28.7,25.8,2.63559,158.42616,17.86524,0.00017,,0.6823,0.027,29.31,0.0185,0.0217,0.023,45.59,62836,0.008219178,3,836
BTC,12-May-24,62000,P,3.7,2.3,1.29486,158.42616,17.86524,0.00017,,0.3177,0.0065,39.81,0.0065,0.0068,0.0075,43.33,62836,0.008219178,3,0
BTC,12-May-24,62500,C,36.7,36.6,2.29495,169.39632,19.45978,0.00019,,0.59172,0.0155,37.05,0.0155,0.0165,0.0165,40.29,62836,0.008219178,3,336
BTC,12-May-24,62500,P,3.9,3.6,1.66719,169.39632,19.45978,0.00019,,0.40828,0.0075,38.35,0.009,0.0096,0.0105,43.2,62836,0.008219178,3,0
BTC,12-May-24,63000,C,39,30.5,1.91948,173.00321,19.98767,0.0002,,0.49333,0.0135,37.8,0.0115,0.0122,0.0125,40.95,62836,0.008219178,3,0
BTC,12-May-24,63000,P,18.1,18.1,2.07436,173.00321,19.98767,0.0002,,0.50667,0.014,39.24,0.013,0.0133,0.014,42.39,62836,0.008219178,3,164
BTC,12-May-24,63500,C,19,14.1,1.54202,166.41946,19.29724,0.00019,,0.39524,0.01,37.49,0.008,0.0087,0.009,40.75,62836,0.008219178,3,0
BTC,12-May-24,63500,P,11.9,11.9,2.48352,166.41946,19.29724,0.00019,,0.60476,0.0165,37.53,0.017,0.0177,0.0195,45.66,62836,0.008219178,3,664
BTC,12-May-24,64000,C,149.2,93.6,1.19751,153.42873,17.58623,0.00017,,0.30634,0.0065,37.88,0.0055,0.0062,0.0065,41.48,62836,0.008219178,3,0
BTC,12-May-24,64000,P,0.1,0.1,2.85972,153.42873,17.58623,0.00017,,0.69366,0.027,30.57,0.0205,0.0231,0.027,53.78,62836,0.008219178,3,1164
BTC,12-May-24,64500,C,12.2,9.1,0.91396,137.57196,15.34453,0.00015,,0.23352,0.0034,40.11,0.0041,0.0044,0.0046,42.17,62836,0.008219178,3,0
BTC,12-May-24,64500,P,0.1,0.1,3.17496,137.57196,15.34453,0.00015,,0.76648,0.0335,28.46,0.0265,0.0293,0.0335,57.4,62836,0.008219178,3,1664
BTC,12-May-24,65000,C,17.5,16.4,0.68512,118.85326,12.91055,0.00012,,0.17487,0.0034,40.9,0.0028,0.0031,0.0033,43.36,62836,0.008219178,3,0
BTC,12-May-24,65000,P,,,3.4355,118.85326,12.91055,0.00012,,0.82513,,27.39,0.0335,0.036,0.039,55.87,62836,0.008219178,3,2164
